disease,text
eczema,"Presentation: red, inflamed rash with small bumps on inside the elbows and behind the knees. Patient has pain and tenderness from cracks and fissures. Course: moderate with frequent flares; commonly sometimes worsened by sweating or heat."
eczema,"The patient has red, inflamed rash with small bumps located in skin creases and folds; the person reports constant discomfort and burning sensation. The condition is chronic, requiring ongoing moisturization and care and may be triggered by hot showers or harsh cleansers."
eczema,"On the hands and fingers show intensely itchy, dry and scaly patches of skin; patient notes they experiences sharp stinging when skin is broken. This is typically moderate with frequent flares and sometimes flares after infections or insect bites."
eczema,"Presentation: intensely itchy, dry and scaly patches of skin on in skin creases and folds. Patient experiences sharp stinging when skin is broken. Course: chronic, requiring ongoing moisturization and care; commonly may be triggered by hot showers or harsh cleansers."
eczema,Symptoms include faintly discolored patches that are darker or lighter than surrounding skin at on exposed areas like the forearms. The individual has pain and tenderness from cracks and fissures — the eczema is mild and intermittent and may flare with stress or lack of sleep.
eczema,The patient has patches of skin that are rough and scaly located on the wrists and ankles; the person feels self-conscious and embarrassed about visible patches. The condition is moderate with frequent flares and linked to exposure to allergens like dust and pollen.
eczema,"On the trunk and limbs show red, inflamed rash with small bumps; patient notes they reports constant discomfort and burning sensation. This is typically severe and persistent and linked to exposure to allergens like dust and pollen."
eczema,"Symptoms include blistering or weeping lesions in acute flares at inside the elbows and behind the knees. The individual notices intense pruritus that triggers scratching — the eczema is chronic, requiring ongoing moisturization and care and frequently triggered by soaps, detergents, or fragrances."
eczema,"In skin creases and folds show red, inflamed rash with small bumps; patient notes they has pain and tenderness from cracks and fissures. This is typically chronic, requiring ongoing moisturization and care and linked to exposure to allergens like dust and pollen."
eczema,"The patient has thickened, leathery skin from repeated scratching located on the hands and fingers; the person feels unbearably itchy, especially at night. The condition is moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"Thickened, leathery skin from repeated scratching appearing on the hands and fingers. The patient reports anxiety and frustration about frequent flare-ups and describes the disease as severe and persistent. Often flares after contact with irritants or chemicals."
eczema,"The patient has dry, cracked skin that may bleed or ooze located around the eyes and eyelids; the person feels restless and loses sleep due to the itch. The condition is moderate with frequent flares and can be aggravated by certain fabrics like wool."
eczema,"Symptoms include clusters of small, itchy bumps that may become raw at on the face and scalp (common in babies). The individual feels the skin is tight and raw after scratching — the eczema is moderate with frequent flares and may flare with stress or lack of sleep."
eczema,The patient has areas of skin that are tender and sore located on the wrists and ankles; the person feels the skin is tight and raw after scratching. The condition is moderate with frequent flares and linked to exposure to allergens like dust and pollen.
eczema,"The patient has thickened, leathery skin from repeated scratching located inside the elbows and behind the knees; the person feels restless and loses sleep due to the itch. The condition is variable, with periods of calm and sudden flare-ups and can be aggravated by certain fabrics like wool."
eczema,"Symptoms include thickened, leathery skin from repeated scratching at on exposed areas like the forearms. The individual feels restless and loses sleep due to the itch — the eczema is moderate with frequent flares and often flares after contact with irritants or chemicals."
eczema,On the face and scalp (common in babies) show faintly discolored patches that are darker or lighter than surrounding skin; patient notes they has pain and tenderness from cracks and fissures. This is typically moderate with frequent flares and sometimes worsened by sweating or heat.
eczema,"Symptoms include skin that flakes, crusts, or forms scabs at on the wrists and ankles. The individual experiences social discomfort and reduced quality of life — the eczema is variable, with periods of calm and sudden flare-ups and can worsen during periods of hormonal change."
